label,filename
discover,Amendment  - 2 to 6 (1).pdf
discover,G36 & 5.56 Project Kick-Off_Internal - V1.0 20210105.pptx
discover,G36 & 5.56 S4Hana STE Impl & Roll Out - LE Projection till Project End 20210129.xlsx
discover,G36 & 5.56 S4Hana STE Impl Delivery Costing Sheet_V10.0_20210208.xlsx
discover,G36 & 5.56 S4Hana STE Impl Delivery Costing Sheet_V11.0_20210210.xlsx
discover,G36 & 5.56 S4Hana STE Impl Delivery Costing Sheet_V8.0_20200107-DC Sheet.pdf
discover,G36 & 5.56 S4Hana STE Impl Delivery Costing Sheet_V9.0_20200107.xlsx
discover,G36 & 5.56 STE Implementation Project - V1.1 Deliver Mandate Sheet.xlsx
discover,G36 & 5.56 STE Implementation Project - V1.2 Deliver Mandate Sheet.xlsx
discover,G36 & 5.56 STE Implementation Project -Risk Register.xlsx
discover,G36&5.56-Applicable Activate Process V1.0 20210129.xlsx
discover,G36&5.56-Applicable Activate Process V1.1 20210202.xlsx
discover,Kaar_G365.56_S4 HANA Impl_CP_07112019_V3.0.docx
discover,Kaar_G365.56_S4 HANA Impl_CP_07112019_V3.0.pdf
discover,Kaar_G365.56_S4 HANA Impl_TP_07112019_V3.0.docx
discover,Kaar_G365.56_S4 HANA Impl_TP_07112019_V3.0.pdf
discover,LC Old vs New_V02.xlsx
discover,MiC_G36&5.56 SAP Implementation_ SHS - Editable.xlsx
discover,MiC_G36&5.56 SAP Implementation_ SHS.xls
discover,Worksheet in MiC_G36&5_Final SHS_20200521.xlsx
frs,MIC_G36_FRS_BL-PP-001-Customized job cards with barcode need to be printed on each production line.pdf
frs,MIC_G36_FRS_BL-PP-002-Customized label needs to print in packaging section.pdf
frs,MIC_G36_FRS_BL-PP-003-Missing parts notification list with respect to plant is sent to controller.pdf
frs,MIC_G36_FRS_BL-PP-004-Notification to the next assembly operation once current operation is done.pdf
frs,MIC_G36_FRS_BL-PP-005-Production Efficiency Report at order level and Operation level and WorkCentre level.pdf
