text,tags
01-MIC-G36 & 5.56 ERP Project-WSR V1.0-28042021.pptx,['WSR']
01-MIC_G36 & 5.56 S4HANA_SCM_MOM_09062021.doc,"['MoM', 'SCM']"
01-MIC_G36 & 5.56 S4HANA_WSR_MOM_28042021.doc,"['MoM', 'WSR']"
02-MIC-G36 & 5.56 ERP Project-WSR V1.0-06052021.pptx,['WSR']
02-MIC_G36 & 5.56 S4HANA_SCM_MOM_30062021.doc,"['MoM', 'SCM']"
02.MIC_G36 & 5.56 S4HANA_WSR_MOM_06052021.doc,"['MoM', 'WSR']"
03-MIC-G36 & 5.56 ERP Project-SR V1.0-30052021.pptx,['WSR']
03-MIC-G36 & 5.56 ERP Project-WSR V1.0-26052021.pptx,['WSR']
03-MIC_G36 & 5.56 S4HANA_WSR_MOM_26052021.doc,"['MoM', 'WSR']"
04-MIC-G36 & 5.56 ERP Project-WSR V1.0-02062021.pptx,['WSR']
04-MIC_G36 & 5.56 S4HANA_WSR_MOM_02062021.doc,"['MoM', 'WSR']"
04-MIC_G36 S4HANA_SCM_MOM_V1.0_20032022.doc,"['MoM', 'SCM']"
05-MIC-G36 & 5.56 ERP Project-WSR V1.0-09062021.pptx,['WSR']
05-MIC_G36 & 5.56 S4HANA_MOM_08062021.doc,['MoM']
06-MIC-G36 & 5.56 ERP Project-WSR V1.0-16062021.pptx,['WSR']
06-MIC_G36 & 5.56 S4HANA_WSR_MOM_16062021.doc,"['MoM', 'WSR']"
07-MIC-G36 & 5.56 ERP Project-WSR V1.0-23062021.pptx,['WSR']
08-MIC-G36 & 5.56 ERP Project-WSR V1.0-14072021.pptx,['WSR']
08-MIC_G36 & 5.56 S4HANA_WSR_MOM_14072021.doc,"['MoM', 'WSR']"
09-MIC-G36 & 5.56 ERP Project-WSR V1.0-28072021.pptx,['WSR']
09-MIC_G36 & 5.56 S4HANA_WSR_MOM_28072021.doc,"['MoM', 'WSR']"
10-MIC-G36 & 5.56 ERP Project-WSR V1.0-04082021.pptx,['WSR']
10-MIC_G36 & 5.56 S4HANA_WSR_MOM_04082021.doc,"['MoM', 'WSR']"
10.1-MIC-G36 & 5.56 ERP Project-WSR V1.0-04082021.pptx,['WSR']
11-MIC-G36 & 5.56 ERP Project-WSR V1.0-11082021.pptx,['WSR']
11-MIC_G36 & 5.56 S4HANA_Open Issues_MOM_05082021.doc,['MoM']
11-MIC_G36_G36 & 5.56 S4HANA_Open Issues_MoM_V1.0_05082021.docx,['MoM']
12-MIC-G36 & 5.56 ERP Project-WSR V1.0-15082021.pptx,['WSR']
12-MIC-G36 & 5.56 ERP Project-WSR V1.0-18082021.pptx,['WSR']
12-MIC_G36 & 5.56 S4HANA_WSR_MOM_18082021.doc,"['MoM', 'WSR']"
13-MIC-5.56 ERP Project-Project Status Report V1.0-25082021.pptx,['General']
13-MIC-G36 & 5.56 ERP Project-WSR V1.0-25082021.pptx,['WSR']
14-MIC-G36 & 5.56 ERP Project-WSR V1.0-01092021.pptx,['WSR']
14-MIC_G36 & 5.56 S4HANA_WSR_MOM_01092021.doc,"['MoM', 'WSR']"
15-MIC-G36 & 5.56 ERP Project-WSR V1.0-08092021.pptx,['WSR']
16-MIC-G36 & 5.56 ERP Project-WSR V1.0-15092021.pptx,['WSR']
16-MIC_G36 & 5.56 S4HANA_WSR_MOM_15092021.doc,"['MoM', 'WSR']"
17-MIC-G36 & 5.56 ERP Project-WSR V1.0-24092021.pptx,['WSR']
18-MIC-G36 & 5.56 ERP Project-WSR V1.0-29092021.pptx,['WSR']
18-MIC_G36 & 5.56 S4HANA_WSR_MOM_29092021.doc,"['MoM', 'WSR']"
1FM-02 Material Supplier Release User Manual.pdf,['User Manual']
1FM-03 Source Inspection User Manual .pdf,['User Manual']
2F9-Complaint against Vendor User Manual .pdf,['User Manual']
2QP Internal Problems User Manual .pdf,['User Manual']
2VO QM Analytical Apps User Manual.pdf,"['User Manual', 'QM']"
Activate Methodology Training Confirmation.pdf,['Training Material']
Amendment  - 2 to 6 (1).pdf,['General']
Amendment  -1 (1).pdf,['General']
Amendment  -7.pdf,['General']
BOM - 109 Entries.png,['General']
CALIBRATION MAINTENANCE TASK LIST.PNG,['General']
Copy of MIC Technical Support - Network PO - Copy.xlsx,['General']
Costing Approved by Srini HCM PL.JPG,['HCM']
Customer team enablement email proof.pdf,['Email']
Defects Recording_non conformance user manual.pdf,['User Manual']
Delay record email proof.pdf,['Email']
Delivery Costing Sheet  concluded with PLs  by PH.pdf,['Delivery Costing Sheet']
Email Confirmation from SAP on the Demo System.pdf,['Email']
Email proof for delivery mandate.pdf,['Email']
Equipment BOM.PNG,['General']
Equipment Calibration.PNG,['General']
Equipment.PNG,['General']
Explore phase_WSR email proof.pdf,"['Email', 'Explore Phase']"
Explore phase_WSR with SAP email proof.pdf,"['Email', 'Explore Phase']"
FICO TR Movement to PRD_Email proof.pdf,"['Email', 'FICO']"
FICO TR Movement.pdf,['FICO']
FICO_Configuration Audit.pdf,['FICO']
FICO_G~1.PDF,['FICO']
Final Inspection from production_user manual.pdf,['User Manual']
Fiori Roles G36 & 5.56_HCM_Fiori_4_2_2020(34307).xls,['HCM']
Folder shared - email proof.pdf,['Email']
Folder shared for Draft BBP - Email proof.pdf,['Email']
Functional Location.PNG,['General']
G36 & 5.56 - FICO workshop report email proof 3.pdf,"['Email', 'Workshop', 'FICO']"
G36 & 5.56 - FICO workshop report email proof 4.pdf,"['Email', 'Workshop', 'FICO']"
G36 & 5.56 - FICO workshop report email proof.pdf,"['Email', 'Workshop', 'FICO']"
G36 & 5.56 - L1 Plan_V1.0 20201221.xlsx,['General']
G36 & 5.56 -S4HANA EE Impl Project-Project Plan V1.0-21042021.pdf,['Project Plan']
G36 & 5.56 Execution Model-Meeting with CEO_V3 20201209.pptx,['Meeting PPT']
G36 & 5.56 FICO workshop report email proof 2.pdf,"['Email', 'Workshop', 'FICO']"
G36 & 5.56 FICO workshop report email proof 4.pdf,"['Email', 'Workshop', 'FICO']"
G36 & 5.56 FICO workshop report email proof 5.pdf,"['Email', 'Workshop', 'FICO']"
G36 & 5.56 FTS schedule email proof.pdf,"['Email', 'FTS']"
G36 & 5.56 KEBS plan upload email proof.pdf,['Email']
G36 & 5.56 Project Kick-Off_Internal - V1.0 20210105.pptx,['General']
G36 & 5.56 S4Hana STE Impl & Roll Out - LE Projection till Project End 20210129.xlsx,['General']
G36 & 5.56 S4Hana STE Impl Delivery Costing Sheet_V10.0_20210208.xlsx,['Delivery Costing Sheet']
G36 & 5.56 S4Hana STE Impl Delivery Costing Sheet_V11.0_20210210.xlsx,['Delivery Costing Sheet']
G36 & 5.56 S4Hana STE Impl Delivery Costing Sheet_V8.0_20200107-DC Sheet.pdf,['Delivery Costing Sheet']
G36 & 5.56 S4Hana STE Impl Delivery Costing Sheet_V8.0_20200107-Loading Sheet.pdf,['Delivery Costing Sheet']
G36 & 5.56 S4Hana STE Impl Delivery Costing Sheet_V8.0_20200107.pdf,['Delivery Costing Sheet']
G36 & 5.56 S4Hana STE Impl Delivery Costing Sheet_V9.0_20200107.xlsx,['Delivery Costing Sheet']
G36 & 5.56 STE Implementation Project - V1.1 Deliver Mandate Sheet.xlsx,['Delivery Mandate']
G36 & 5.56 STE Implementation Project - V1.2 Deliver Mandate Sheet.xlsx,['Delivery Mandate']
G36 & 5.56 STE Implementation Project -Risk Register.xlsx,['General']
G36 & 5.56 STE Resource Loading Sheet.xlsx,['General']
G36 & 5.56 Stakeholder confirmation email proof.pdf,['Email']
G36 & 5.56_Consolidated Backlog list email proof.pdf,['Email']
G36 - MM&WM - Roles and authorization email proof.pdf,"['Email', 'MM']"
G36 - SAP S4HANA Ext Project Plan V1.0.mpp,['Project Plan']
G36 - Testing plan email proof.pdf,['Email']
G36 31L Capcity Planning User Manual.pdf,['User Manual']
G36 BJN MTS Rework User Manual.pdf,['User Manual']
G36 ERP Project-HCM- OM-STE Migration Test Script.xlsx,"['Testing Docs', 'HCM']"
G36 ERP Project-HCM- PA-STE Migration Test Script.xlsx,"['Testing Docs', 'HCM']"
G36 FICO Sign off discussion email proof.pdf,"['Email', 'FICO']"
G36 FICO roles and authorization email proof.pdf,"['Email', 'FICO']"
G36 HCM sign off email proof.pdf,"['Email', 'HCM']"
G36 HCM workshop report email proof.pdf,"['Email', 'Workshop', 'HCM']"
G36 J44 Material Requirement Planning User Manual.pdf,['User Manual']
G36 L3 plan email proof.pdf,['Email']
G36 MM sign off discussion email proof.pdf,"['Email', 'MM']"
G36 MM workshop report email proof.pdf,"['Email', 'Workshop', 'MM']"
G36 PM Roles and authorization email proof.pdf,"['Email', 'PM']"
G36 PM sign off discussion email proof.pdf,"['Email', 'PM']"
G36 PM workshop report email proof.pdf,"['Email', 'Workshop', 'PM']"
G36 PP Roles and authorization email proof.pdf,"['Email', 'PP']"
G36 PP sign off discussion email proof.pdf,"['Email', 'PP']"
G36 PP workshop report email proof.pdf,"['Email', 'Workshop', 'PP']"
G36 QM Roles and authorization email proof.pdf,"['Email', 'QM']"
G36 QM sign off discussion email proof.pdf,"['Email', 'QM']"
G36 QM workshop report email proof.pdf,"['Email', 'Workshop', 'QM']"
G36 _ Ktern project & process plan upload email proof.pdf,"['Email', 'Process Plan']"
G36&5.56-Applicable Activate Process V1.0 20210129.xlsx,['General']
G36&5.56-Applicable Activate Process V1.1 20210202.xlsx,['General']
G36- BJ05_002-Discrete manufacturing user manual.pdf,['User Manual']
G36-S4HANA EE Impl Project- GSI Report- V1.0-25042021.xlsx,['General']
G36-S4HANA EE Impl Project-Data Migration Strategy and Plan V1.0-11042021.pdf,['General']
G36-S4HANA EE Impl Project-Project Charter V2.0-19042021.pdf,['Project Charter Document']
G36-S4HANA EE Impl Project-Project Management Plan V2.0-19042021.pdf,['General']
G36-S4HANA EE Impl Project-Project Progress Metrics Document V2.0-19042021.pdf,['General']
G36-S4HANA EE Impl Project-Scope Statement V2.0-19042021.pdf,['General']
G36-S4HANA EE Impl Project-Testing Strategy and Plan V1.0 11042021.pdf,['Testing Docs']
G36-S4HANA EE Impl Project-Testing Strategy and Plan V2.0 20062021.docx,['Testing Docs']
G36-S4HANA EE Impl Project-Training Strategy and Plan V1.0-11042021.pdf,['Training Material']
GENERAL MAINTENANCE TASKLIST.PNG,['General']
Go Live acceptance confirmation email proofs.pdf,['Email']
HCM TR Movement to PRD_Email proof.pdf,"['Email', 'HCM']"
HCM TR Movement.pdf,['HCM']
HCM_Configuration Audit.pdf,['HCM']
HCM_GO~1.PDF,['HCM']
Incomming Inspection Plan - 28 Entries.png,['MM']
Incomming Inspection QM views - 28 Entries.png,['QM']
Inprocess Inspection QM views - 102 Entries.png,['QM']
Inspection Method - 656.png,['General']
Kaar Tech HCM_G36 Presentation.pptx,['HCM']
Kaar Tech HCM_Template -Flows- G36.pptx,"['Templates', 'HCM']"
Kaar-Activate Methodology Training_V1.0 20210215.pptx,['Training Material']
Kaar_G365.56_S4 HANA Impl_CP_07112019_V3.0.docx,['General']
Kaar_G365.56_S4 HANA Impl_CP_07112019_V3.0.pdf,['General']
Kaar_G365.56_S4 HANA Impl_TP_07112019_V3.0.docx,['General']
Kaar_G365.56_S4 HANA Impl_TP_07112019_V3.0.pdf,['General']
Kaar_MIC_S4 HANA Impl_Costing_08012020_V0.1.xlsx,['General']
Kaartech - Cross Connect Proposal - v2.pdf,['General']
Kick off and onboarding confirmation Meeting Invite.pdf,['Email']
Kick off and onboarding confirmation.pdf,['General']
LC Old vs New_V02.xlsx,['General']
MI05F6~1.DOC,['General']
MI870F~1.DOC,['General']
MI9019~1.DOC,['General']
MI9C5F~1.DOC,['General']
MIC - G36-Global Scope Item Confirmation.pdf,['General']
MIC 5.56 Plant Maintenance Unit Test Document QAS.xlsx,['Testing Docs']
MIC 5.56 STE EX Implementation -Stakeholders LIst.xlsx,['General']
MIC Explore phase User feedback forms.pdf,['Explore Phase']
MIC G36 & 5.56 - FICO - SDD sign off meeting.pptx,"['SDD', 'Meeting PPT', 'FICO']"
MIC G36 & 5.56 Impl & Roll Out-Paymnt 3-Project Kick off and Mobilization.pdf,['General']
MIC G36 & 5.56 Impl & Roll Out-Paymnt 4-G36 Prepare Phase.pdf,['Prepare Phase']
MIC G36 & 5.56 Impl & Roll Out-Paymnt 5-G36 Explore Phase.pdf,['Explore Phase']
MIC G36 & 5.56 Impl & Roll Out-Paymnt 6-G36 Realize Phase.docx,['Realize Phase']
MIC G36 & 5.56 Impl & Roll Out-Paymnt 7-G36 Deploy Phase.pdf,['Deploy Phase']
MIC G36 & 5.56 _project way forward discussion email.pdf,['Email']
MIC G36 & 5.56_ ERP Project-SCM V1.0_09062021.pptx,['SCM']
MIC G36 & 5.56_ ERP Project-SCM V1.0_30062021.pptx,['SCM']
MIC G36 & 5.56_ ERP Project-SCM V1.1_30062021.pptx,['SCM']
MIC G36 & 5.56_FICO Configuration document.pdf,['FICO']
MIC G36 & 5.56_L2 plan.pdf,['General']
MIC G36 - HCM - Cost Center  Org unit - User Manual.pdf,"['User Manual', 'HCM']"
MIC G36 - HCM - Cost Center  Position - User Manual.pdf,"['User Manual', 'HCM']"
MIC G36 - HCM - Hiring - User Manual.pdf,"['User Manual', 'HCM']"
MIC G36 - HCM - Master data - User Manual.pdf,"['User Manual', 'Master Data', 'HCM']"
MIC G36 - HCM - Org unit - User Manual.pdf,"['User Manual', 'HCM']"
MIC G36 - HCM - Other Actions - User Manual.pdf,"['User Manual', 'HCM']"
MIC G36 - HCM - Position - User Manual.pdf,"['User Manual', 'HCM']"
MIC G36 - HCM - Resignation - User Manual.pdf,"['User Manual', 'HCM']"
MIC G36 - HCM - Seperation - User Manual.pdf,"['User Manual', 'HCM']"
MIC G36 - HCM - Time Management - User Manual.pdf,"['User Manual', 'HCM']"
MIC G36 - MM & WM- SDD & Backlog Sign Off Presentation_V 1.0_14062021.pptx,"['SDD', 'MM']"
MIC G36 - PM - SDD & Backlog sign off meeting.pptx,"['SDD', 'Meeting PPT', 'PM']"
MIC G36 - PP - SDD & Backlog sign off meeting.pptx,"['SDD', 'Meeting PPT']"
MIC G36 - QM - SDD & Backlog sign off meeting.pptx,"['SDD', 'Meeting PPT', 'QM']"
MIC G36 - SWT - FICO - Completion email proof.pdf,"['Email', 'SWT', 'FICO']"
MIC G36 - SWT - HCM - completion email proof.pdf,"['Email', 'SWT', 'HCM']"
MIC G36 - SWT - MM-WM completion email proof.pdf,"['Email', 'SWT', 'MM']"
MIC G36 - SWT - QM - Completion email proof.pdf,"['Email', 'SWT', 'QM']"
MIC G36 - SWT schedule email proof.pdf,"['Email', 'SWT']"
MIC G36 Configuration Document PP.pdf,['General']
MIC G36 Configuration Document QM.pdf,['QM']
MIC G36 Configuration HCM.pdf,['HCM']
MIC G36 Cut Over Workshop Email proof.pdf,"['Email', 'Workshop', 'Cut-Over Plan']"
MIC G36 ERP Project - Cut-over Plan_V1.0.pptx,['Cut-Over Plan']
MIC G36 ERP Project Go Live Acceptance Criteria - PP( Draft).docx,['PP']
MIC G36 ERP Project Go Live Acceptance Criteria - PP.docx,['PP']
MIC G36 ERP Project Go Live Acceptance Criteria - QM.docx,['QM']
MIC G36 ERP Project Go Live Acceptance Criteria - WM.docx,['General']
MIC G36 ERP Project Go Live Acceptance Criteria -PM.docx,['PM']
MIC G36 ERP Project Go Live Acceptance Criteria- FICO.docx,['FICO']
MIC G36 ERP Project Go Live Acceptance Criteria-HCM.docx,['HCM']
MIC G36 ERP Project Go Live Acceptance Criteria-MM.docx,['HM']
MIC G36 ERP Project- Migration Checklist_V1.0 04102021.xlsx,['General']
MIC G36 ERP Project-Cut-over Plan_V1.0 20092021.xlsx,['Cut-Over Plan']
MIC G36 ERP Project-Realization L3 Plan V1.0 27062021.xlsx,['General']
MIC G36 ERP Project_Transport Register.xlsx,['General']
MIC G36 End user training participant list.pdf,['Training Material']
MIC G36 End user training schedule email proof.pdf,['Email']
MIC G36 FICO Master data upload in QAS.pdf,"['Master Data', 'FICO']"
MIC G36 HCM Master data upload in QAS.pdf,"['Master Data', 'HCM']"
MIC G36 HCM SDD.pdf,"['SDD', 'HCM']"
MIC G36 MM Master data upload in QAS.pdf,"['Master Data', 'MM']"
MIC G36 MM WM SDD.pdf,"['SDD', 'MM']"
MIC G36 Material master data.pdf,['Master Data']
MIC G36 OM & PM Doc.docx,['PM']
MIC G36 PM Master data upload in QAS.pdf,"['Master Data', 'PM']"
MIC G36 PM SDD.pdf,"['SDD', 'PM']"
MIC G36 PP Master data upload in QAS.pdf,"['Master Data', 'PP']"
MIC G36 PP SDD.pdf,"['SDD', 'PP']"
MIC G36 Packing Instruction Creation User Manual .pdf,['User Manual']
MIC G36 Pkg Instr Determination User Manual .pdf,['User Manual']
MIC G36 Plant Maintenance Configuration Document.pdf,['General']
MIC G36 Plant Maintenance Unit Test Document QAS.xlsx,['Testing Docs']
MIC G36 Plant Maintenance Unit Test Document.xlsx,['Testing Docs']
MIC G36 Production version User Manual.pdf,['User Manual']
MIC G36 QM Master data upload in QAS.pdf,"['Master Data', 'QM']"
MIC G36 QM SDD.pdf,"['SDD', 'QM']"
MIC G36 Routing creation Usermanual.pdf,['General']
MIC G36 STE EX Implementation -Stakeholders LIst.xlsx,['General']
MIC G36 SWT - PM -completion email proof.pdf,"['Email', 'SWT', 'PM']"
MIC G36 SWT - PP- completion email proof.pdf,"['Email', 'SWT', 'PP']"
MIC G36 User BOM Creation.pdf,['General']
MIC G36 _testing strategy and plan.pdf,['Testing Docs']
MIC G36& 5.56 _MM-PM Analytics configuration proof.jpg,"['MM', 'PM']"
MIC G36&5.56_PP-QM Analytical configuration proof.jpg,"['PP', 'QM']"
MIC G36-TS-BL-PM-009-CAD Drawing request Form.pdf,['PM']
MIC G36-TS-BL-QM-005-Customized quality certificate  after source  inspection.pdf,['QM']
MIC G36_ data load preparation email proof.pdf,['Email']
MIC G36_Analytics Configuration email proof.pdf,['Email']
MIC G36_DEV_End to End Process_V1.0.xlsx,['General']
MIC G36_DEV_PM_MM_FICO_String test scripts_V1.0.xlsx,"['Testing Docs', 'FICO', 'MM', 'PM']"
MIC G36_DEV_PM_QM_FICO_String test scripts_V1.0.xlsx,"['Testing Docs', 'FICO', 'PM', 'QM']"
MIC G36_DEV_PP_String test scripts_V1.0.xlsx,"['Testing Docs', 'PP']"
MIC G36_DEV_QM_String test scripts_V1.0.xlsx,"['Testing Docs', 'QM']"
MIC G36_Data load preparation_V1.0_20062021.xlsx,['General']
MIC G36_Data migration checklist email proof.pdf,['Email']
MIC G36_Data migration strategy & plan.pdf,['General']
MIC G36_ERP Project - SCM_V1.0_08032022.pptx,['SCM']
MIC G36_ERP Project - SCM_V1.0_20032022.pptx,['SCM']
MIC G36_End user training Section wise schedule_V2.0_31102021.xlsx,['Training Material']
MIC G36_End user training schedule_V1.0_27102021.xlsx,['Training Material']
MIC G36_FICO_Master data confirmation email proof.pdf,"['Email', 'Master Data', 'FICO']"
MIC G36_FICO_SWT_email invite proof.pdf,"['Email', 'SWT', 'FICO']"
MIC G36_FICO_UT_Meeting invite_email proof.pdf,"['Email', 'FICO']"
MIC G36_FICO_mock cut over readiness confirmation.pdf,"['Cut-Over Plan', 'FICO']"
MIC G36_GoLive_march 13_PRD system readiness email proof.pdf,['Email']
MIC G36_HCM Configuration document email proof.pdf,"['Email', 'HCM']"
MIC G36_HCM_GoLive sign off.pdf,['HCM']
MIC G36_HCM_Master data confirmation email proof.pdf,"['Email', 'Master Data', 'HCM']"
MIC G36_HCM_UT Attendance sheets.pdf,['HCM']
